Date,NFL Week
9/12/2019,2
9/13/2019,2
9/14/2019,2
9/15/2019,2
9/16/2019,2
9/17/2019,3
9/18/2019,3
9/19/2019,3
9/20/2019,3
9/21/2019,3
9/22/2019,3
9/23/2019,3
9/24/2019,4
9/25/2019,4
9/26/2019,4
9/27/2019,4
9/28/2019,4
9/29/2019,4
9/30/2019,4
10/1/2019,5
10/2/2019,5
10/3/2019,5
10/4/2019,5
10/5/2019,5
10/6/2019,5
10/7/2019,5
10/8/2019,6
10/9/2019,6
10/10/2019,6
10/11/2019,6
10/12/2019,6
10/13/2019,6
10/14/2019,6
10/15/2019,7
10/16/2019,7
10/17/2019,7
10/18/2019,7
10/19/2019,7
10/20/2019,7
10/21/2019,7
10/22/2019,8
10/23/2019,8
10/24/2019,8
10/25/2019,8
10/26/2019,8
10/27/2019,8
10/28/2019,8
10/29/2019,9
10/30/2019,9
10/31/2019,9
11/1/2019,9
11/2/2019,9
11/3/2019,9
11/4/2019,9
11/5/2019,10
11/6/2019,10
11/7/2019,10
11/8/2019,10
11/9/2019,10
11/10/2019,10
11/11/2019,10
11/12/2019,11
11/13/2019,11
11/14/2019,11
11/15/2019,11
11/16/2019,11
11/17/2019,11
11/18/2019,11
11/19/2019,12
11/20/2019,12
11/21/2019,12
11/22/2019,12
11/23/2019,12
11/24/2019,12
11/25/2019,12
11/26/2019,13
11/27/2019,13
11/28/2019,13
11/29/2019,13
11/30/2019,13
12/1/2019,13
12/2/2019,13
12/3/2019,14
12/4/2019,14
12/5/2019,14
12/6/2019,14
12/7/2019,14
12/8/2019,14
12/9/2019,14
12/10/2019,15
12/11/2019,15
12/12/2019,15
12/13/2019,15
12/14/2019,15
12/15/2019,15
12/16/2019,15
12/17/2019,16
12/18/2019,16
12/19/2019,16
12/20/2019,16
12/21/2019,16
12/22/2019,16
12/23/2019,16
12/24/2019,17
12/25/2019,17
12/26/2019,17
12/27/2019,17
12/28/2019,17
12/29/2019,17
12/30/2019,17
