teamId,shortName,City,Nickname,fullName,Conference,Division
1,ATL,Atlanta,Hawks,Atlanta Hawks,East,Southeast
2,BOS,Boston,Celtics,Boston Celtics,East,Atlantic
4,BKN,Brooklyn,Nets,Brooklyn Nets,East,Atlantic
5,CHA,Charlotte,Hornets,Charlotte Hornets,East,Southeast
6,CHI,Chicago,Bulls,Chicago Bulls,East,Central
7,CLE,Cleveland,Cavaliers,Cleveland Cavaliers,East,Central
8,DAL,Dallas,Mavericks,Dallas Mavericks,West,Southwest
9,DEN,Denver,Nuggets,Denver Nuggets,West,Northwest
10,DET,Detroit,Pistons,Detroit Pistons,East,Central
11,GSW,Golden State,Warriors,Golden State Warriors,West,Pacific
14,HOU,Houston,Rockets,Houston Rockets,West,Southwest
15,IND,Indiana,Pacers,Indiana Pacers,East,Central
16,LAC,LA,Clippers,LA Clippers,West,Pacific
17,LAL,Los Angeles,Lakers,Los Angeles Lakers,West,Pacific
19,MEM,Memphis,Grizzlies,Memphis Grizzlies,West,Southwest
20,MIA,Miami,Heat,Miami Heat,East,Southeast
21,MIL,Milwaukee,Bucks,Milwaukee Bucks,East,Central
22,MIN,Minnesota,Timberwolves,Minnesota Timberwolves,West,Northwest
23,NOP,New Orleans,Pelicans,New Orleans Pelicans,West,Southwest
24,NYK,New York,Knicks,New York Knicks,East,Atlantic
25,OKC,Oklahoma City,Thunder,Oklahoma City Thunder,West,Northwest
26,ORL,Orlando,Magic,Orlando Magic,East,Southeast
27,PHI,Philadelphia,76ers,Philadelphia 76ers,East,Atlantic
28,PHX,Phoenix,Suns,Phoenix Suns,West,Pacific
29,POR,Portland,Trail Blazers,Portland Trail Blazers,West,Northwest
30,SAC,Sacramento,Kings,Sacramento Kings,West,Pacific
31,SAS,San Antonio,Spurs,San Antonio Spurs,West,Southwest
37,SAS,Home,Team Stephen A,Home Team Stephen A,East,East
38,TOR,Toronto,Raptors,Toronto Raptors,East,Atlantic
40,UTA,Utah,Jazz,Utah Jazz,West,Northwest
41,WAS,Washington,Wizards,Washington Wizards,East,Southeast
